variant,data_carrier_code_index,signed_freq,segment
stock,2,2,ok
stock,3,3,ok
stock,4,4,ok
stock,5,5,ok
stock,6,6,ok
stock,7,7,ok
stock,8,8,ok
stock,9,9,ok
stock,10,10,ok
stock,11,11,ok
stock,12,12,ok
stock,13,13,ok
stock,15,15,cross-guard
stock,16,16,cross-guard
stock,17,17,cross-guard
stock,18,18,cross-guard
stock,19,19,cross-guard
stock,20,20,cross-guard
stock,21,21,cross-guard
stock,22,22,cross-guard
stock,23,23,cross-guard
stock,24,24,cross-guard
stock,25,25,cross-guard
stock,26,26,cross-guard
stock,39,-25,ok
stock,40,-24,ok
stock,41,-23,ok
stock,42,-22,ok
stock,43,-21,ok
stock,44,-20,ok
stock,45,-19,ok
stock,46,-18,ok
stock,47,-17,ok
stock,48,-16,ok
stock,49,-15,ok
stock,50,-14,ok
stock,52,-12,clamp
stock,53,-11,clamp
stock,54,-10,clamp
stock,55,-9,clamp
stock,56,-8,clamp
stock,57,-7,clamp
stock,58,-6,clamp
stock,59,-5,clamp
stock,60,-4,clamp
stock,61,-3,clamp
stock,62,-2,clamp
stock,63,-1,clamp
corrected,34,2,ok
corrected,35,3,ok
corrected,36,4,ok
corrected,37,5,ok
corrected,38,6,ok
corrected,39,7,ok
corrected,40,8,ok
corrected,41,9,ok
corrected,42,10,ok
corrected,43,11,ok
corrected,44,12,ok
corrected,45,13,ok
corrected,47,15,clamp
corrected,48,16,clamp
corrected,49,17,clamp
corrected,50,18,clamp
corrected,51,19,clamp
corrected,52,20,clamp
corrected,53,21,clamp
corrected,54,22,clamp
corrected,55,23,clamp
corrected,56,24,clamp
corrected,57,25,clamp
corrected,58,26,clamp
corrected,7,-25,ok
corrected,8,-24,ok
corrected,9,-23,ok
corrected,10,-22,ok
corrected,11,-21,ok
corrected,12,-20,ok
corrected,13,-19,ok
corrected,14,-18,ok
corrected,15,-17,ok
corrected,16,-16,ok
corrected,17,-15,ok
corrected,18,-14,ok
corrected,20,-12,ok
corrected,21,-11,ok
corrected,22,-10,ok
corrected,23,-9,ok
corrected,24,-8,ok
corrected,25,-7,ok
corrected,26,-6,ok
corrected,27,-5,ok
corrected,28,-4,ok
corrected,29,-3,ok
corrected,30,-2,ok
corrected,31,-1,ok
