initial_offset,residual_stock,ber_stock,residual_corrected,ber_corrected
-4.0,-4.0,0.5517113095238095,-5.0,0.5487444196428571
-3.5,-4.5,0.5696800595238095,-4.5,0.559867931547619
-3.0,-4.0,0.5521763392857143,-5.0,0.5481770833333334
-2.5,-2.5,0.3672619047619048,-4.5,0.5600074404761904
-2.0,-2.0,0.23149181547619047,0.0,0.0
-1.5,-0.5,0.06681547619047619,0.5,0.0
-1.0,0.0,0.0,0.0,0.0
-0.5,-0.5,0.06707589285714285,0.5,9.300595238095239e-06
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.06664806547619048,0.5,0.0
1.0,0.0,0.0,0.0,0.0
1.5,0.5,0.06669456845238095,0.5,9.300595238095239e-06
2.0,2.0,0.22905505952380953,0.0,0.0
2.5,0.5,0.06669456845238095,0.5,1.8601190476190478e-05
3.0,4.0,0.5682012648809524,5.0,0.5738746279761905
3.5,4.5,0.58515625,4.5,0.5808407738095238
4.0,4.0,0.56875,5.0,0.5739676339285714
